Unicode,Caractere,Nome,Origem
U+0113,ē,LATIN SMALL LETTER E WITH MACRON,DejaVu Serif: base vetorial licenciada
U+0114,Ĕ,LATIN CAPITAL LETTER E WITH BREVE,DejaVu Serif: base vetorial licenciada
U+0115,ĕ,LATIN SMALL LETTER E WITH BREVE,DejaVu Serif: base vetorial licenciada
U+0116,Ė,LATIN CAPITAL LETTER E WITH DOT ABOVE,DejaVu Serif: base vetorial licenciada
U+0117,ė,LATIN SMALL LETTER E WITH DOT ABOVE,DejaVu Serif: base vetorial licenciada
U+0118,Ę,LATIN CAPITAL LETTER E WITH OGONEK,DejaVu Serif: base vetorial licenciada
U+0119,ę,LATIN SMALL LETTER E WITH OGONEK,DejaVu Serif: base vetorial licenciada
U+011A,Ě,LATIN CAPITAL LETTER E WITH CARON,DejaVu Serif: base vetorial licenciada
U+011B,ě,LATIN SMALL LETTER E WITH CARON,DejaVu Serif: base vetorial licenciada
U+011C,Ĝ,LATIN CAPITAL LETTER G WITH CIRCUMFLEX,DejaVu Serif: base vetorial licenciada
U+011D,ĝ,LATIN SMALL LETTER G WITH CIRCUMFLEX,DejaVu Serif: base vetorial licenciada
U+011E,Ğ,LATIN CAPITAL LETTER G WITH BREVE,DejaVu Serif: base vetorial licenciada
U+011F,ğ,LATIN SMALL LETTER G WITH BREVE,DejaVu Serif: base vetorial licenciada
U+0120,Ġ,LATIN CAPITAL LETTER G WITH DOT ABOVE,DejaVu Serif: base vetorial licenciada
U+0121,ġ,LATIN SMALL LETTER G WITH DOT ABOVE,DejaVu Serif: base vetorial licenciada
U+0122,Ģ,LATIN CAPITAL LETTER G WITH CEDILLA,DejaVu Serif: base vetorial licenciada
U+0123,ģ,LATIN SMALL LETTER G WITH CEDILLA,DejaVu Serif: base vetorial licenciada
U+0124,Ĥ,LATIN CAPITAL LETTER H WITH CIRCUMFLEX,DejaVu Serif: base vetorial licenciada
U+0125,ĥ,LATIN SMALL LETTER H WITH CIRCUMFLEX,DejaVu Serif: base vetorial licenciada
U+0126,Ħ,LATIN CAPITAL LETTER H WITH STROKE,DejaVu Serif: base vetorial licenciada
U+0127,ħ,LATIN SMALL LETTER H WITH STROKE,DejaVu Serif: base vetorial licenciada
U+0128,Ĩ,LATIN CAPITAL LETTER I WITH TILDE,DejaVu Serif: base vetorial licenciada
U+0129,ĩ,LATIN SMALL LETTER I WITH TILDE,DejaVu Serif: base vetorial licenciada
U+012A,Ī,LATIN CAPITAL LETTER I WITH MACRON,DejaVu Serif: base vetorial licenciada
U+012B,ī,LATIN SMALL LETTER I WITH MACRON,DejaVu Serif: base vetorial licenciada
U+012C,Ĭ,LATIN CAPITAL LETTER I WITH BREVE,DejaVu Serif: base vetorial licenciada
U+012D,ĭ,LATIN SMALL LETTER I WITH BREVE,DejaVu Serif: base vetorial licenciada
U+012E,Į,LATIN CAPITAL LETTER I WITH OGONEK,DejaVu Serif: base vetorial licenciada
U+012F,į,LATIN SMALL LETTER I WITH OGONEK,DejaVu Serif: base vetorial licenciada
U+0130,İ,LATIN CAPITAL LETTER I WITH DOT ABOVE,DejaVu Serif: base vetorial licenciada
U+0131,ı,LATIN SMALL LETTER DOTLESS I,DejaVu Serif: base vetorial licenciada
U+0132,Ĳ,LATIN CAPITAL LIGATURE IJ,DejaVu Serif: base vetorial licenciada
U+0133,ĳ,LATIN SMALL LIGATURE IJ,DejaVu Serif: base vetorial licenciada
U+0134,Ĵ,LATIN CAPITAL LETTER J WITH CIRCUMFLEX,DejaVu Serif: base vetorial licenciada
U+0135,ĵ,LATIN SMALL LETTER J WITH CIRCUMFLEX,DejaVu Serif: base vetorial licenciada
U+0136,Ķ,LATIN CAPITAL LETTER K WITH CEDILLA,DejaVu Serif: base vetorial licenciada
U+0137,ķ,LATIN SMALL LETTER K WITH CEDILLA,DejaVu Serif: base vetorial licenciada
U+0138,ĸ,LATIN SMALL LETTER KRA,DejaVu Serif: base vetorial licenciada
U+0139,Ĺ,LATIN CAPITAL LETTER L WITH ACUTE,DejaVu Serif: base vetorial licenciada
U+013A,ĺ,LATIN SMALL LETTER L WITH ACUTE,DejaVu Serif: base vetorial licenciada
U+013B,Ļ,LATIN CAPITAL LETTER L WITH CEDILLA,DejaVu Serif: base vetorial licenciada
U+013C,ļ,LATIN SMALL LETTER L WITH CEDILLA,DejaVu Serif: base vetorial licenciada
U+013D,Ľ,LATIN CAPITAL LETTER L WITH CARON,DejaVu Serif: base vetorial licenciada
U+013E,ľ,LATIN SMALL LETTER L WITH CARON,DejaVu Serif: base vetorial licenciada
U+013F,Ŀ,LATIN CAPITAL LETTER L WITH MIDDLE DOT,DejaVu Serif: base vetorial licenciada
U+0140,ŀ,LATIN SMALL LETTER L WITH MIDDLE DOT,DejaVu Serif: base vetorial licenciada
U+0141,Ł,LATIN CAPITAL LETTER L WITH STROKE,DejaVu Serif: base vetorial licenciada
U+0142,ł,LATIN SMALL LETTER L WITH STROKE,DejaVu Serif: base vetorial licenciada
U+0143,Ń,LATIN CAPITAL LETTER N WITH ACUTE,DejaVu Serif: base vetorial licenciada
U+0144,ń,LATIN SMALL LETTER N WITH ACUTE,DejaVu Serif: base vetorial licenciada
U+0145,Ņ,LATIN CAPITAL LETTER N WITH CEDILLA,DejaVu Serif: base vetorial licenciada
U+0146,ņ,LATIN SMALL LETTER N WITH CEDILLA,DejaVu Serif: base vetorial licenciada
U+0147,Ň,LATIN CAPITAL LETTER N WITH CARON,DejaVu Serif: base vetorial licenciada
U+0148,ň,LATIN SMALL LETTER N WITH CARON,DejaVu Serif: base vetorial licenciada
U+0149,ŉ,LATIN SMALL LETTER N PRECEDED BY APOSTROPHE,DejaVu Serif: base vetorial licenciada
U+014A,Ŋ,LATIN CAPITAL LETTER ENG,DejaVu Serif: base vetorial licenciada
U+014B,ŋ,LATIN SMALL LETTER ENG,DejaVu Serif: base vetorial licenciada
U+014C,Ō,LATIN CAPITAL LETTER O WITH MACRON,DejaVu Serif: base vetorial licenciada
U+014D,ō,LATIN SMALL LETTER O WITH MACRON,DejaVu Serif: base vetorial licenciada
U+014E,Ŏ,LATIN CAPITAL LETTER O WITH BREVE,DejaVu Serif: base vetorial licenciada
U+014F,ŏ,LATIN SMALL LETTER O WITH BREVE,DejaVu Serif: base vetorial licenciada
U+0150,Ő,LATIN CAPITAL LETTER O WITH DOUBLE ACUTE,DejaVu Serif: base vetorial licenciada
U+0151,ő,LATIN SMALL LETTER O WITH DOUBLE ACUTE,DejaVu Serif: base vetorial licenciada
U+0152,Œ,LATIN CAPITAL LIGATURE OE,DejaVu Serif: base vetorial licenciada
U+0153,œ,LATIN SMALL LIGATURE OE,DejaVu Serif: base vetorial licenciada
U+0154,Ŕ,LATIN CAPITAL LETTER R WITH ACUTE,DejaVu Serif: base vetorial licenciada
U+0155,ŕ,LATIN SMALL LETTER R WITH ACUTE,DejaVu Serif: base vetorial licenciada
U+0156,Ŗ,LATIN CAPITAL LETTER R WITH CEDILLA,DejaVu Serif: base vetorial licenciada
U+0157,ŗ,LATIN SMALL LETTER R WITH CEDILLA,DejaVu Serif: base vetorial licenciada
U+0158,Ř,LATIN CAPITAL LETTER R WITH CARON,DejaVu Serif: base vetorial licenciada
U+0159,ř,LATIN SMALL LETTER R WITH CARON,DejaVu Serif: base vetorial licenciada
U+015A,Ś,LATIN CAPITAL LETTER S WITH ACUTE,DejaVu Serif: base vetorial licenciada
U+015B,ś,LATIN SMALL LETTER S WITH ACUTE,DejaVu Serif: base vetorial licenciada
U+015C,Ŝ,LATIN CAPITAL LETTER S WITH CIRCUMFLEX,DejaVu Serif: base vetorial licenciada
U+015D,ŝ,LATIN SMALL LETTER S WITH CIRCUMFLEX,DejaVu Serif: base vetorial licenciada
U+015E,Ş,LATIN CAPITAL LETTER S WITH CEDILLA,DejaVu Serif: base vetorial licenciada
U+015F,ş,LATIN SMALL LETTER S WITH CEDILLA,DejaVu Serif: base vetorial licenciada
U+0160,Š,LATIN CAPITAL LETTER S WITH CARON,DejaVu Serif: base vetorial licenciada
U+0161,š,LATIN SMALL LETTER S WITH CARON,DejaVu Serif: base vetorial licenciada
U+0162,Ţ,LATIN CAPITAL LETTER T WITH CEDILLA,DejaVu Serif: base vetorial licenciada
U+0163,ţ,LATIN SMALL LETTER T WITH CEDILLA,DejaVu Serif: base vetorial licenciada
U+0164,Ť,LATIN CAPITAL LETTER T WITH CARON,DejaVu Serif: base vetorial licenciada
U+0165,ť,LATIN SMALL LETTER T WITH CARON,DejaVu Serif: base vetorial licenciada
